ticker,name,exchange,category name,country
S92.F,SMA Solar Technology AG,FRA,Diversified Utilities,France
RY2.F,Dah Sing Banking Group Limited,FRA,,France
R6C3.F,Royal Dutch Shell plc,FRA,Major Integrated Oil & Gas,France
PS4.F,Phoenix Solar Aktiengesellschaft,FRA,Diversified Utilities,France
PPK.F,Next Digital Limited,FRA,,France
PPA.F,PA Power Automation AG,FRA,Technical & System Software,France
PEH.F,PEH Wertpapier AG,FRA,,France
PAH3.F,Porsche Automobil Holding SE,FRA,Auto Manufacturers - Major,France
PA8.F,Paion AG,FRA,Biotechnology,France
ODET.PA,Financière de l'Odet SA,PAR,Conglomerates,France
ODE.F,Odeon Film AG,FRA,,France
O1BC.F,XING AG,FRA,Internet Information Providers,France
NWX.F,Nordwest Handel AG,FRA,,France
NDA.F,Aurubis AG,FRA,Copper,France
MUV2.F,Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft,FRA,Property & Casualty Insurance,France
MUT3.F,Mineralbrunnen Überkingen-Teinach GmbH & Co. KGaA,FRA,,France
MUM.F,Mensch und Maschine Software SE,FRA,Business Services,France
MTX.F,MTU Aero Engines AG,FRA,Aerospace/Defense - Major Diversified,France
MPS.F,Mühl Product & Service Aktiengesellschaft,FRA,,France
MLTRA.PA,Compagnie des Tramways de Rouen SA,PAR,Conglomerates,France
MLTED.PA,Telecom Design SA,PAR,Communication Equipment,France
MLSHD.PA,Scandinavian house Development SA,PAR,,France
MLNV.PA,Compagnie Generale DES Etablissements Michelin SCA,PAR,,France
MLLEM.PA,Lecteurs Du Monde,PAR,Business Services,France
MLL.F,Müller - Die lila Logistik AG,FRA,Air Delivery & Freight Services,France
MLHK.PA,H&K AG,PAR,,France
MLEAU.PA,Societe des Eaux de Douai SA,PAR,Water Utilities,France
MLDAM.PA,Damaris SA,PAR,Technical & System Software,France
MLCMB.PA,Compagnie Du Mont-Blanc,PAR,"Recreational Goods, Other",France
MLCFM.PA,CFM Indosuez Wealth,PAR,Money Center Banks,France
MHH.F,Medisana AG,FRA,,France
MFL.F,"Marudai Food Co., Ltd.",FRA,,France
MAN3.F,MAN SE,FRA,Trucks & Other Vehicles,France
MALA.PA,Societe Des Produits Marnier Lapostolle Société Anonyme,PAR,,France
LXS.F,LANXESS Aktiengesellschaft,FRA,Specialty Chemicals,France
LVH1.F,Jackpot Digital Inc.,FRA,,France
LNSX.F,Sixt Leasing SE,FRA,,France
LEG.F,LEG Immobilien AG,FRA,General Building Materials,France
KYW.F,Skyworth Digital Holdings Limited,FRA,,France
KWS.F,KWS Saat SE,FRA,Farm Products,France
KRN.F,Krones AG,FRA,Diversified Machinery,France
KLH.F,Københavns Lufthavne A/S,FRA,,France
KBU.F,TAG Colonia-Immobilien AG,FRA,,France
KBC.F,Kontron AG,FRA,Computer Based Systems,France
JY8.F,Joyou AG,FRA,,France
HUL.F,BHS tabletop AG,FRA,,France
HNR1.F,Hannover Rück SE,FRA,Property & Casualty Insurance,France
HNL.F,Dr. Hönle AG,FRA,Electronic Equipment,France
HEI.F,HeidelbergCement AG,FRA,General Building Materials,France
HDP.PA,Les Hotels De Paris SA,PAR,Lodging,France
HDI.F,"The Home Depot, Inc.",FRA,,France
HDD.F,Heidelberger Druckmaschinen Aktiengesellschaft,FRA,Diversified Machinery,France
HBM.F,Hornbach Baumarkt AG,FRA,Home Furnishings & Fixtures,France
GUYD.PA,Guy Degrenne S.A.,PAR,Personal Products,France
FEV.F,Fortec Elektronik AG,FRA,Electronic Equipment,France
FDM.F,Fresh Del Monte Produce Inc.,FRA,,France
FDL.PA,Foncière Développement Logements,PAR,REIT - Residential,France
FAO2.F,i:FAO Aktiengesellschaft,FRA,,France
EDD3.F,edding AG,FRA,,France
EBK.F,EnBW Energie Baden-Württemberg AG,FRA,Diversified Utilities,France
DZX.F,DZX.F,FRA,,France
SEV.PA,SUEZ SA,PAR,Water Utilities,France
ERF.PA,Eurofins Scientific SE,PAR,Medical Laboratories & Research,France
EO.PA,Faurecia S.A.,PAR,Auto Parts,France
EI.PA,Essilor International Société Anonyme,PAR,Medical Instruments & Supplies,France
CBE.PA,Robertet SA,PAR,Chemicals - Major Diversified,France
SU.PA,Schneider Electric S.E.,PAR,Diversified Machinery,France
ERSC.PA,Eurosic SA,PAR,REIT - Diversified,France
ENGI.PA,ENGIE SA,PAR,,France
ELIOR.PA,Elior Group,PAR,Restaurants,France
ECP.PA,EuropaCorp,PAR,Broadcasting - TV,France
YE5.F,NextSource Materials Inc.,FRA,,France
VIE.PA,Veolia Environnement S.A.,PAR,Waste Management,France
UBI.PA,Ubisoft Entertainment SA,PAR,Multimedia & Graphics Software,France
SESL.PA,SES-imagotag,PAR,Diversified Electronics,France
RF.PA,Eurazeo SE,PAR,Asset Management,France
GPE.PA,Groupe Pizzorno Environnement,PAR,Waste Management,France
FGR.PA,Eiffage SA,PAR,General Contractors,France
F12.F,Critical Elements Corporation,FRA,,France
ES.PA,Esso S.A.F.,PAR,Oil & Gas Refining & Marketing,France
ERYP.PA,Erytech Pharma Société Anonyme,PAR,Biotechnology,France
EOS.PA,ACTEOS S.A.,PAR,Business Software & Services,France
EKI.PA,EKINOPS S.A.,PAR,Semiconductor Equipment & Materials,France
EDEN.PA,Edenred SA,PAR,Credit Services,France
AYO.DE,Abengoa SA,FRA,,France
ALSAS.PA,Stradim Espace Finances SA,PAR,Property Management,France
ALGEM.PA,Eurogerm SA,PAR,Farm Products,France
ALESK.PA,Esker SA,PAR,,France
ZEE.F,Zug Estates Holding AG,FRA,,France
YXS.F,Sany Heavy Equipment International Holdings Company Limited,FRA,,France
YKE.F,Yokogawa Electric Corporation,FRA,,France
XTE.F,"EnLink Midstream Partners, LP",FRA,,France
XPK.F,White Energy Company Limited,FRA,,France
XONA.DE,Exxon Mobil Corporation,FRA,Major Integrated Oil & Gas,France
XGH.F,ENN Energy Holdings Limited,FRA,,France
XAH.F,Mobile Embrace Limited,FRA,,France
WWY.F,WWY.F,FRA,,France
WIQ.F,Clean Energy Fuels Corp.,FRA,,France
VVD.DE,Veolia Environnement S.A.,FRA,,France
MLCVG.PA,SociÃ©tÃ© des Chemins de Fer et Tramways du Var et du Gard,PAR,Asset Management,France
PUB.PA,Publicis Groupe S.A.,PAR,Advertising Agencies,France
OR.PA,L'Oréal S.A.,PAR,Personal Products,France
SAN.PA,Sanofi,PAR,Drug Manufacturers - Major,France
SAFT.PA,Saft Groupe S.A.,PAR,,France
SAF.PA,Safran SA,PAR,Aerospace/Defense - Major Diversified,France
GLE.PA,Societe Generale Group,PAR,Money Center Banks,France
CRTO.PA,Caisse RÃ©gionale de CrÃ©dit Agricole Mutuel de La Touraine et du Poitou,PAR,Money Center Banks,France
VIV.PA,Vivendi SA,PAR,Wireless Communications,France
SOI.PA,Soitec S.A.,PAR,Semiconductor Equipment & Materials,France
VRAP.PA,Vranken-Pommery Monopole Société anonyme,PAR,Beverages - Brewers,France
UL.PA,UL.PA,PAR,,France
TOTB.DE,TOTAL S.A.,FRA,Major Integrated Oil & Gas,France
TKTT.PA,Tarkett S.A.,PAR,General Building Materials,France
TCH.PA,Technicolor SA,PAR,Entertainment - Diversified,France
SOP.PA,Sopra Steria Group,PAR,Information Technology Services,France
QUA.PA,Quantel,PAR,Medical Appliances & Equipment,France
MC.PA,LVMH Moët Hennessy Louis Vuitton S.E.,PAR,Jewelry Stores,France
MAU.PA,Etablissements Maurel & Prom S.A.,PAR,Independent Oil & Gas,France
ILD.PA,Iliad SA,PAR,Wireless Communications,France
HO.PA,Thales S.A.,PAR,Aerospace/Defense - Major Diversified,France
FR.PA,Valeo SA,PAR,Auto Parts,France
FP.PA,TOTAL S.A.,PAR,Major Integrated Oil & Gas,France
CAF.PA,Caisse RÃ©gionale de CrÃ©dit Agricole Mutuel de Paris et d'Ile-de-France,PAR,Money Center Banks,France
VK.PA,Vallourec SA,PAR,Steel & Iron,France
VIRP.PA,Virbac SA,PAR,Drug Manufacturers - Major,France
VAC.PA,Pierre & Vacances SA,PAR,Lodging,France
UG.PA,Peugeot S.A.,PAR,Auto Manufacturers - Major,France
THEP.PA,Thermador Groupe Société Anonyme,PAR,Business Services,France
TES.PA,Tessi SA,PAR,Information Technology Services,France
SX.PA,CS Communication & Systemes SA,PAR,Aerospace/Defense - Major Diversified,France
SW.PA,Sodexo S.A.,PAR,Business Services,France
STAL.PA,Installux SA,PAR,General Building Materials,France
SNW.DE,Sanofi,FRA,Drug Manufacturers - Major,France
SGO.PA,Compagnie de Saint-Gobain S.A.,PAR,General Building Materials,France
RXL.PA,Rexel S.A.,PAR,Business Services,France
RI.PA,Pernod Ricard SA,PAR,Beverages - Wineries & Distillers,France
RCO.PA,Rémy Cointreau SA,PAR,Beverages - Wineries & Distillers,France
PARRO.PA,Parrot S.A.,PAR,Communication Equipment,France
ORA.PA,Orange S.A.,PAR,,France
NEO.PA,Neopost S.A.,PAR,Business Equipment,France
MLSML.PA,Smalto Holding SA,PAR,,France
MGIC.PA,MGI Coutier SA,PAR,Auto Parts,France
KER.PA,Kering S.A.,PAR,,France
ITXT.PA,Intexa S.A.,PAR,Textile - Apparel Clothing,France
ICAD.PA,Icade S.A.,PAR,REIT - Diversified,France
HIM.PA,Hi-Media S.A.,PAR,,France
HBW.PA,Hubwoo,PAR,Information Technology Services,France
HAV.PA,Havas SA,PAR,Marketing Services,France
GDS.PA,Ramsay Générale de Santé SA,PAR,Health Care Plans,France
FLY.PA,Societe Fonciere Lyonnaise,PAR,REIT - Office,France
FLE.PA,Fleury Michon SA,PAR,Food - Major Diversified,France
FII.PA,Lisi S.A.,PAR,Aerospace/Defense - Major Diversified,France
COX.PA,Nicox S.A.,PAR,Biotechnology,France
CAP.PA,Capgemini SE,PAR,,France
CA.PA,Carrefour SA,PAR,Grocery Stores,France
BVI.PA,Bureau Veritas SA,PAR,Business Services,France
BB.PA,Société BIC SA,PAR,Personal Products,France
1S7.F,"Selecta Biosciences, Inc.",FRA,,France
XCA.DE,Credit Agricole S.A.,FRA,Money Center Banks,France
VRQ.F,Vergnet SA,FRA,,France
VRNL.PA,Verneuil Participations SA,PAR,Asset Management,France
TRI.PA,Trigano S.A.,PAR,"Recreational Goods, Other",France
TOUP.PA,Touax SCA,PAR,Shipping,France
THP.DE,Technip SA,FRA,,France
TER.PA,Terreïs (France),PAR,REIT - Diversified,France
TEC.PA,Technip SA,PAR,,France
SY.PA,SALVEPAR,PAR,,France
SWP.PA,Sword Group S.E.,PAR,Technical & System Software,France
STF.PA,Stef SA,PAR,Railroads,France
SOA.PA,Sodifrance SA,PAR,Business Software & Services,France
SEC.PA,Soditech SA,PAR,General Contractors,France
SBT.PA,Oeneo SA,PAR,Beverages - Brewers,France
RNO.PA,Renault SA,PAR,Auto Manufacturers - Major,France
QTE.PA,Quotium Technologies SA,PAR,Technical & System Software,France
PIX.PA,Pixium Vision SA,PAR,Medical Instruments & Supplies,France
PIG.PA,Haulotte Group SA,PAR,Trucks & Other Vehicles,France
OPN.PA,Groupe Open,PAR,Information Technology Services,France
NOA3.DE,Nokia Corporation,FRA,Communication Equipment,France
NK.PA,Imerys SA,PAR,General Building Materials,France
NANO.PA,Nanobiotix SA,PAR,Drug Manufacturers - Major,France
MON.PA,Montupet SA,PAR,,France
MMT.PA,Métropole Télévision S.A.,PAR,Broadcasting - TV,France
MLSTR.PA,Streit Mecanique SA,PAR,Auto Parts,France
MLSIM.PA,Simo International Société Anonyme,PAR,Textile - Apparel Footwear & Accessories,France
MLRAM.PA,Raphaël Michel S.A.,PAR,Beverages - Wineries & Distillers,France
MLNOV.PA,Novatech Industries,PAR,Diversified Electronics,France
MLHBB.PA,Financiere Hoche Bains-Les-Bains SA,PAR,Mortgage Investment,France
MLCNT.PA,Consort NT SA,PAR,Information Technology Services,France
MLCET.PA,Concept-et-tradition S.A.,PAR,,France
MFG.PA,Montaigne Fashion Group,PAR,,France
MF.PA,Wendel,PAR,Asset Management,France
MERY.PA,Mercialys S.A.,PAR,REIT - Retail,France
MED.PA,Medasys S.A.,PAR,Healthcare Information Services,France
