ticker,name,exchange,category name,country
OPHR.L,Ophir Energy Plc,LSE,Independent Oil & Gas,United Kingdom
MYT.L,Mytrah Energy Limited,LSE,Diversified Utilities,United Kingdom
MTL.L,Metals Exploration Plc,LSE,Industrial Metals & Minerals,United Kingdom
LGO.L,Columbus Energy Resources plc,LSE,,United Kingdom
JEL.L,Jersey Electricity plc,LSE,Electric Utilities,United Kingdom
IAG.L,"International Consolidated Airlines Group, S.A.",LSE,Major Airlines,United Kingdom
GWI.L,Globalworth Real Estate Investment Limited,LSE,Property Management,United Kingdom
GSS.L,Genesis Emerging Markets Fund,LSE,,United Kingdom
ESG.L,eServGlobal Limited,LSE,Business Software & Services,United Kingdom
ERGO.L,Ergomed plc,LSE,Biotechnology,United Kingdom
EPWN.L,Epwin Group PLC,LSE,General Building Materials,United Kingdom
EME.L,Empyrean Energy Plc,LSE,Independent Oil & Gas,United Kingdom
EHP.L,Genedrive plc,LSE,,United Kingdom
EDR.L,Egdon Resources plc,LSE,Independent Oil & Gas,United Kingdom
EAS.L,Energy Assets Group Plc,LSE,,United Kingdom
BVA.L,"Banco Bilbao Vizcaya Argentaria, S.A.",LSE,Money Center Banks,United Kingdom
BKY.L,Berkeley Energia Limited,LSE,Industrial Metals & Minerals,United Kingdom
AEY.L,Antrim Energy Inc.,LSE,,United Kingdom
AEN.L,Andes Energia PLC,LSE,,United Kingdom
ZHEH.L,"Zhejiang Expressway Co., Ltd.",LSE,Heavy Construction,United Kingdom
XEL.L,Xcite Energy Limited,LSE,,United Kingdom
WOS.L,Ferguson plc,LSE,,United Kingdom
PFG.L,Provident Financial plc,LSE,Credit Services,United Kingdom
IPF.L,International Personal Finance Plc,LSE,Credit Services,United Kingdom
FGP.L,Firstgroup plc,LSE,Trucking,United Kingdom
FRES.L,Fresnillo PLC,LSE,Industrial Metals & Minerals,United Kingdom
FGT.L,Finsbury Growth & Income Ord,LSE,,United Kingdom
FCPT.L,F&C Commercial Property Trust Limited,LSE,,United Kingdom
PFL.L,Premier Farnell plc,LSE,,United Kingdom
JUP.L,Jupiter Fund Management Plc,LSE,Asset Management,United Kingdom
FPM.L,Faroe Petroleum plc,LSE,Independent Oil & Gas,United Kingdom
COD.L,Compagnie de Saint-Gobain S.A.,LSE,General Building Materials,United Kingdom
TTA.L,TOTAL S.A.,LSE,Major Integrated Oil & Gas,United Kingdom
ORCH.L,Orchard Funding Group PLC,LSE,,United Kingdom
