NAME OF COMPANY,SYMBOL,Yahoo Ticker,IPO Year
Cohance Lifesciences Limited,COHANCE,COHANCE.NS,2020
Colgate Palmolive (India) Limited,COLPAL,COLPAL.NS,2007
Compuage Infocom Limited,COMPINFO,COMPINFO.NS,2016
Compucom Software Limited,COMPUSOFT,COMPUSOFT.NS,2012
Commercial Syn Bags Limited,COMSYN,COMSYN.NS,2024
Container Corporation of India Limited,CONCOR,CONCOR.NS,1997
Concord Biotech Limited,CONCORDBIO,CONCORDBIO.NS,2023
Confidence Petroleum India Limited,CONFIPET,CONFIPET.NS,2019
Consolidated Finvest & Holdings Limited,CONSOFINVT,CONSOFINVT.NS,2005
Control Print Limited,CONTROLPR,CONTROLPR.NS,2016
Coral India Finance & Housing Limited,CORALFINAC,CORALFINAC.NS,1996
Cords Cable Industries Limited,CORDSCABLE,CORDSCABLE.NS,2008
Coromandel International Limited,COROMANDEL,COROMANDEL.NS,1995
CORONA Remedies Limited,CORONA,CORONA.NS,2025
COSMO FIRST LIMITED,COSMOFIRST,COSMOFIRST.NS,1995
Country Condo's Limited,COUNCODOS,COUNCODOS.NS,2009
CP Capital Limited,CPCAP,CPCAP.NS,2010
Career Point Edutech Limited,CPEDU,CPEDU.NS,2025
Aditya Infotech Limited,CPPLUS,CPPLUS.NS,2025
Craftsman Automation Limited,CRAFTSMAN,CRAFTSMAN.NS,2021
Canara Robeco Asset Management Company Limited,CRAMC,CRAMC.NS,2025
Creative Eye Limited,CREATIVEYE,CREATIVEYE.NS,2000
CREDITACCESS GRAMEEN LIMITED,CREDITACC,CREDITACC.NS,2018
Crest Ventures Limited,CREST,CREST.NS,2006
CRISIL Limited,CRISIL,CRISIL.NS,1995
Crizac Limited,CRIZAC,CRIZAC.NS,2025
Crompton Greaves Consumer Electricals Limited,CROMPTON,CROMPTON.NS,2016
Crown Lifters Limited,CROWN,CROWN.NS,2022
CSB Bank Limited,CSBBANK,CSBBANK.NS,2019
CSL Finance Limited,CSLFINANCE,CSLFINANCE.NS,2022
Cambridge Technology Enterprises Limited,CTE,CTE.NS,2007
City Union Bank Limited,CUB,CUB.NS,1998
Cubex Tubings Limited,CUBEXTUB,CUBEXTUB.NS,1996
Cummins India Limited,CUMMINSIND,CUMMINSIND.NS,1995
Cupid Limited,CUPID,CUPID.NS,2016
Cura Technologies Limited,CURAA,CURAA.NS,2025
Cyber Media (India) Limited,CYBERMEDIA,CYBERMEDIA.NS,2005
Cybertech Systems And Software Limited,CYBERTECH,CYBERTECH.NS,1999
Cyient Limited,CYIENT,CYIENT.NS,1998
Cyient DLM Limited,CYIENTDLM,CYIENTDLM.NS,2023
Dabur India Limited,DABUR,DABUR.NS,1999
Dalmia Bharat Limited,DALBHARAT,DALBHARAT.NS,2019
Dalmia Bharat Sugar and Industries Limited,DALMIASUG,DALMIASUG.NS,1996
Dam Capital Advisors Limited,DAMCAPITAL,DAMCAPITAL.NS,2024
Damodar Industries Limited,DAMODARIND,DAMODARIND.NS,2016
Dangee Dums Limited,DANGEE,DANGEE.NS,2020
Datamatics Global Services Limited,DATAMATICS,DATAMATICS.NS,2004
Data Patterns (India) Limited,DATAPATTNS,DATAPATTNS.NS,2021
Davangere Sugar Company Limited,DAVANGERE,DAVANGERE.NS,2024
D.B.Corp Limited,DBCORP,DBCORP.NS,2010
Deepak Builders & Engineers India Limited,DBEIL,DBEIL.NS,2024
Dilip Buildcon Limited,DBL,DBL.NS,2016
Dhampur Bio Organics Limited,DBOL,DBOL.NS,2022
Valor Estate Limited,DBREALTY,DBREALTY.NS,2010
DB (International) Stock Brokers Limited,DBSTOCKBRO,DBSTOCKBRO.NS,2012
Dishman Carbogen Amcis Limited,DCAL,DCAL.NS,2017
DCB Bank Limited,DCBBANK,DCBBANK.NS,2006
Dc Infotech And Communication Limited,DCI,DCI.NS,2022
DCM  Limited,DCM,DCM.NS,1995
DCM Financial Services Limited,DCMFINSERV,DCMFINSERV.NS,1997
DCM Nouvelle Limited,DCMNVL,DCMNVL.NS,2019
DCM Shriram Limited,DCMSHRIRAM,DCMSHRIRAM.NS,1995
DCM Shriram Industries Limited,DCMSRIND,DCMSRIND.NS,2021
DCW Limited,DCW,DCW.NS,1995
DCX Systems Limited,DCXINDIA,DCXINDIA.NS,2022
Ddev Plastiks Industries Limited,DDEVPLSTIK,DDEVPLSTIK.NS,2025
Deccan Cements Limited,DECCANCE,DECCANCE.NS,2007
DEE Development Engineers Limited,DEEDEV,DEEDEV.NS,2024
Deepak Fertilizers and Petrochemicals Corporation Limited,DEEPAKFERT,DEEPAKFERT.NS,2003
Deepak Nitrite Limited,DEEPAKNTR,DEEPAKNTR.NS,2010
Deep Industries Limited,DEEPINDS,DEEPINDS.NS,2021
Delhivery Limited,DELHIVERY,DELHIVERY.NS,2022
DELPHI WORLD MONEY LIMITED,DELPHIFX,DELPHIFX.NS,2011
Delta Corp Limited,DELTACORP,DELTACORP.NS,2007
Delta Manufacturing Limited,DELTAMAGNT,DELTAMAGNT.NS,1995
Den Networks Limited,DEN,DEN.NS,2009
De Nora India Limited,DENORA,DENORA.NS,1997
Denta Water and Infra Solutions Limited,DENTA,DENTA.NS,2025
Dev Information Technology Limited,DEVIT,DEVIT.NS,2022
Dev Accelerator Limited,DEVX,DEVX.NS,2025
Devyani International Limited,DEVYANI,DEVYANI.NS,2021
Digicontent Limited,DGCONTENT,DGCONTENT.NS,2019
Dhampur Sugar Mills Limited,DHAMPURSUG,DHAMPURSUG.NS,1995
Dhanlaxmi Bank Limited,DHANBANK,DHANBANK.NS,2004
Dhanuka Agritech Limited,DHANUKA,DHANUKA.NS,2011
DHARAN INFRA-EPC LIMITED,DHARAN,DHARAN.NS,2018
Dharmaj Crop Guard Limited,DHARMAJ,DHARMAJ.NS,2022
Dhruv Consultancy Services Limited,DHRUV,DHRUV.NS,2021
Dhunseri Investments Limited,DHUNINV,DHUNINV.NS,2011
Diamond Power Infrastructure Limited,DIACABS,DIACABS.NS,2023
Diamines & Chemicals Limited,DIAMINESQ,DIAMINESQ.NS,2023
Prataap Snacks Limited,DIAMONDYD,DIAMONDYD.NS,2017
DIC India Limited,DICIND,DICIND.NS,1995
Diffusion Engineers Limited,DIFFNKG,DIFFNKG.NS,2024
Digidrive Distributors Limited,DIGIDRIVE,DIGIDRIVE.NS,2024
DiGiSPICE Technologies Limited,DIGISPICE,DIGISPICE.NS,2008
Digitide Solutions Limited,DIGITIDE,DIGITIDE.NS,2025
Digjam Limited,DIGJAMLMTD,DIGJAMLMTD.NS,2021
Debock Industries Limited,DIL,DIL.NS,2022
Dish TV India Limited,DISHTV,DISHTV.NS,2007
Divgi Torqtransfer Systems Limited,DIVGIITTS,DIVGIITTS.NS,2023
Divi's Laboratories Limited,DIVISLAB,DIVISLAB.NS,2003
Dixon Technologies (India) Limited,DIXON,DIXON.NS,2017
DJ Mediaprint & Logistics Limited,DJML,DJML.NS,2022
DLF Limited,DLF,DLF.NS,2007
D-Link (India) Limited,DLINKINDIA,DLINKINDIA.NS,2009
Avenue Supermarts Limited,DMART,DMART.NS,2017
DMCC SPECIALITY CHEMICALS LIMITED,DMCC,DMCC.NS,2021
Diligent Media Corporation Limited,DNAMEDIA,DNAMEDIA.NS,2017
Dodla Dairy Limited,DODLA,DODLA.NS,2021
Dolat Algotech Limited,DOLATALGO,DOLATALGO.NS,2024
Dollar Industries Limited,DOLLAR,DOLLAR.NS,2017
Dolphin Offshore Enterprises (India) Limited,DOLPHIN,DOLPHIN.NS,2023
DOMS Industries Limited,DOMS,DOMS.NS,2023
Donear Industries Limited,DONEAR,DONEAR.NS,2006
D. P. Abhushan Limited,DPABHUSHAN,DPABHUSHAN.NS,2020
DPSC Limited,DPSCLTD,DPSCLTD.NS,2008
D P Wires Limited,DPWIRES,DPWIRES.NS,2020
DRC Systems India Limited,DRCSYSTEMS,DRCSYSTEMS.NS,2021
Dreamfolks Services Limited,DREAMFOLKS,DREAMFOLKS.NS,2022
Dredging Corporation of India Limited,DREDGECORP,DREDGECORP.NS,2004
Dr. Reddy's Laboratories Limited,DRREDDY,DRREDDY.NS,2003
Dynacons Systems & Solutions Limited,DSSL,DSSL.NS,2011
Dhunseri Tea & Industries Limited,DTIL,DTIL.NS,2015
Ducon Infratechnologies Limited,DUCON,DUCON.NS,2012
Dhunseri Ventures Limited,DVL,DVL.NS,2008
Dwarikesh Sugar Industries Limited,DWARKESH,DWARKESH.NS,2004
Dynamic Cables Limited,DYCL,DYCL.NS,2022
Dynamatic Technologies Limited,DYNAMATECH,DYNAMATECH.NS,2006
Dynemic Products Limited,DYNPRO,DYNPRO.NS,2017
E2E Networks Limited,E2E,E2E.NS,2022
Easy Trip Planners Limited,EASEMYTRIP,EASEMYTRIP.NS,2021
GNG Electronics Limited,EBGNG,EBGNG.NS,2025
eClerx Services Limited,ECLERX,ECLERX.NS,2007
Ecos (India) Mobility & Hospitality Limited,ECOSMOBLTY,ECOSMOBLTY.NS,2024
Edelweiss Financial Services Limited,EDELWEISS,EDELWEISS.NS,2007
EFC (I) Limited,EFCIL,EFCIL.NS,2025
Eicher Motors Limited,EICHERMOT,EICHERMOT.NS,2004
EID Parry India Limited,EIDPARRY,EIDPARRY.NS,1995
Enviro Infra Engineers Limited,EIEL,EIEL.NS,2024
Euro India Fresh Foods Limited,EIFFL,EIFFL.NS,2021
EIH Associated Hotels Limited,EIHAHOTELS,EIHAHOTELS.NS,2008
EIH Limited,EIHOTEL,EIHOTEL.NS,1995
Eimco Elecon (India) Limited,EIMCOELECO,EIMCOELECO.NS,1996
Everest Kanto Cylinder Limited,EKC,EKC.NS,2005
Eldeco Housing And Industries Limited,ELDEHSG,ELDEHSG.NS,2022
Elecon Engineering Company Limited,ELECON,ELECON.NS,2006
Electrosteel Castings Limited,ELECTCAST,ELECTCAST.NS,2003
Electrotherm (India) Limited,ELECTHERM,ELECTHERM.NS,2007
Elgi Equipments Limited,ELGIEQUIP,ELGIEQUIP.NS,1995
Elgi Rubber Company Limited,ELGIRUBCO,ELGIRUBCO.NS,2011
Elin Electronics Limited,ELIN,ELIN.NS,2022
Ellenbarrie Industrial Gases Limited,ELLEN,ELLEN.NS,2025
Emami Limited,EMAMILTD,EMAMILTD.NS,2006
Emami Paper Mills Limited,EMAMIPAP,EMAMIPAP.NS,2019
Emami Realty Limited,EMAMIREAL,EMAMIREAL.NS,2010
Embassy Developments Limited,EMBDL,EMBDL.NS,2007
Emcure Pharmaceuticals Limited,EMCURE,EMCURE.NS,2024
Electronics Mart India Limited,EMIL,EMIL.NS,2022
Emkay Global Financial Services Limited,EMKAY,EMKAY.NS,2006
Emmbi Industries Limited,EMMBI,EMMBI.NS,2010
Emmvee Photovoltaic Power Limited,EMMVEE,EMMVEE.NS,2025
EMS Limited,EMSLIMITED,EMSLIMITED.NS,2023
eMudhra Limited,EMUDHRA,EMUDHRA.NS,2022
Endurance Technologies Limited,ENDURANCE,ENDURANCE.NS,2016
Energy Development Company Limited,ENERGYDEV,ENERGYDEV.NS,2007
Engineers India Limited,ENGINERSIN,ENGINERSIN.NS,1997
Entertainment Network (India) Limited,ENIL,ENIL.NS,2006
Siemens Energy India Limited,ENRIN,ENRIN.NS,2025
Entero Healthcare Solutions Limited,ENTERO,ENTERO.NS,2024
EPACK Durable Limited,EPACK,EPACK.NS,2024
EPack Prefab Technologies Limited,EPACKPEB,EPACKPEB.NS,2025
Epigral Limited,EPIGRAL,EPIGRAL.NS,2021
EPL Limited,EPL,EPL.NS,2002
Equippp Social Impact Technologies Limited,EQUIPPP,EQUIPPP.NS,2021
Equitas Small Finance Bank Limited,EQUITASBNK,EQUITASBNK.NS,2020
Eris Lifesciences Limited,ERIS,ERIS.NS,2017
Esab India Limited,ESABINDIA,ESABINDIA.NS,1995
ESAF Small Finance Bank Limited,ESAFSFB,ESAFSFB.NS,2023
Escorts Kubota Limited,ESCORTS,ESCORTS.NS,1995
Essar Shipping Limited,ESSARSHPNG,ESSARSHPNG.NS,2011
Integra Essentia Limited,ESSENTIA,ESSENTIA.NS,2013
Ester Industries Limited,ESTER,ESTER.NS,2011
ETERNAL LIMITED,ETERNAL,ETERNAL.NS,2021
Ethos Limited,ETHOSLTD,ETHOSLTD.NS,2022
Eureka Forbes Limited,EUREKAFORB,EUREKAFORB.NS,2024
Euro Panel Products Limited,EUROBOND,EUROBOND.NS,2025
Euro Pratik Sales Limited,EUROPRATIK,EUROPRATIK.NS,2025
Eurotex Industries and Exports Limited,EUROTEXIND,EUROTEXIND.NS,1996
Eveready Industries India Limited,EVEREADY,EVEREADY.NS,2005
Everest Industries Limited,EVERESTIND,EVERESTIND.NS,1995
Excel Realty N Infra Limited,EXCEL,EXCEL.NS,2009
Excel Industries Limited,EXCELINDUS,EXCELINDUS.NS,2004
Excelsoft Technologies Limited,EXCELSOFT,EXCELSOFT.NS,2025
Exicom Tele-Systems Limited,EXICOM,EXICOM.NS,2024
Exide Industries Limited,EXIDEIND,EXIDEIND.NS,2003
Expleo Solutions Limited,EXPLEOSOL,EXPLEOSOL.NS,2009
Exxaro Tiles Limited,EXXARO,EXXARO.NS,2021
Fabtech Technologies Limited,FABTECH,FABTECH.NS,2025
Fertilizers and Chemicals Travancore Limited,FACT,FACT.NS,1995
Fairchem Organics Limited,FAIRCHEMOR,FAIRCHEMOR.NS,2020
Faze Three Limited,FAZE3Q,FAZE3Q.NS,2022
Fineotex Chemical Limited,FCL,FCL.NS,2015
FCS Software Solutions Limited,FCSSOFT,FCSSOFT.NS,2005
FDC Limited,FDC,FDC.NS,1997
The Federal Bank  Limited,FEDERALBNK,FEDERALBNK.NS,1995
Fedbank Financial Services Limited,FEDFINA,FEDFINA.NS,2023
Future Enterprises Limited,FEL,FEL.NS,2001
Future Enterprises Limited,FELDVR,FELDVR.NS,2009
Fiberweb (India) Limited,FIBERWEB,FIBERWEB.NS,2022
Fiem Industries Limited,FIEMIND,FIEMIND.NS,2006
Filatex India Limited,FILATEX,FILATEX.NS,2011
Filatex Fashions Limited,FILATFASH,FILATFASH.NS,2024
Finolex Cables Limited,FINCABLES,FINCABLES.NS,1995
Fine Organic Industries Limited,FINEORG,FINEORG.NS,2018
Finkurve Financial Services Limited,FINKURVE,FINKURVE.NS,2025
Fino Payments Bank Limited,FINOPB,FINOPB.NS,2021
Finolex Industries Limited,FINPIPE,FINPIPE.NS,1995
Brainbees Solutions Limited,FIRSTCRY,FIRSTCRY.NS,2024
Fischer Medical Ventures Limited,FISCHER,FISCHER.NS,2025
Five-Star Business Finance Limited,FIVESTAR,FIVESTAR.NS,2022
Flair Writing Industries Limited,FLAIR,FLAIR.NS,2023
Flexituff Ventures International Limited,FLEXITUFF,FLEXITUFF.NS,2011
Future Lifestyle Fashions Limited,FLFL,FLFL.NS,2013
Gujarat Fluorochemicals Limited,FLUOROCHEM,FLUOROCHEM.NS,2019
Federal-Mogul Goetze (India) Limited.,FMGOETZE,FMGOETZE.NS,1995
Future Market Networks Limited,FMNL,FMNL.NS,2010
Focus Lighting and Fixtures Limited,FOCUS,FOCUS.NS,2021
Foods & Inns Limited,FOODSIN,FOODSIN.NS,2021
FORCE MOTORS LTD,FORCEMOT,FORCEMOT.NS,2024
Fortis Healthcare Limited,FORTIS,FORTIS.NS,2007
Foseco India Limited,FOSECOIND,FOSECOIND.NS,2003
Firstsource Solutions Limited,FSL,FSL.NS,2007
Fusion Finance Limited,FUSION,FUSION.NS,2022
Gabriel India Limited,GABRIEL,GABRIEL.NS,2005
Gujarat Ambuja Exports Limited,GAEL,GAEL.NS,2000
GAIL (India) Limited,GAIL,GAIL.NS,1997
Gala Precision Engineering Limited,GALAPREC,GALAPREC.NS,2024
Galaxy Surfactants Limited,GALAXYSURF,GALAXYSURF.NS,2018
Gallantt Ispat Limited,GALLANTT,GALLANTT.NS,2006
Gandhar Oil Refinery (India) Limited,GANDHAR,GANDHAR.NS,2023
Gandhi Special Tubes Limited,GANDHITUBE,GANDHITUBE.NS,2007
Ganesha Ecosphere Limited,GANECOS,GANECOS.NS,2015
Ganesh Benzoplast Limited,GANESHBE,GANESHBE.NS,2021
Ganesh Consumer Products Limited,GANESHCP,GANESHCP.NS,2025
GANESH HOUSING LIMITED,GANESHHOU,GANESHHOU.NS,2007
Ganga Forging Limited,GANGAFORGE,GANGAFORGE.NS,2021
Ganges Securities Limited,GANGESSECU,GANGESSECU.NS,2017
Garware Technical Fibres Limited,GARFIBRES,GARFIBRES.NS,2007
Garuda Construction and Engineering Limited,GARUDA,GARUDA.NS,2024
GACM Technologies Limited,GATECH,GATECH.NS,2016
GACM Technologies Limited,GATECHDVR,GATECHDVR.NS,2017
Gateway Distriparks Limited,GATEWAY,GATEWAY.NS,2022
Gayatri Highways Limited,GAYAHWS,GAYAHWS.NS,2018
Gretex Corporate Services Limited,GCSL,GCSL.NS,2025
GeeCee Ventures Limited,GEECEE,GEECEE.NS,2006
Geekay Wires Limited,GEEKAYWIRE,GEEKAYWIRE.NS,2020
Gem Aromatics Limited,GEMAROMA,GEMAROMA.NS,2025
Generic Engineering Construction and Projects Limited,GENCON,GENCON.NS,2021
Genesys International Corporation Limited,GENESYS,GENESYS.NS,2003
Gensol Engineering Limited,GENSOL,GENSOL.NS,2023
Genus Paper & Boards Limited,GENUSPAPER,GENUSPAPER.NS,2015
Genus Power Infrastructures Limited,GENUSPOWER,GENUSPOWER.NS,2005
Geojit Financial Services Limited,GEOJITFSL,GEOJITFSL.NS,2005
The Great Eastern Shipping Company Limited,GESHIP,GESHIP.NS,2006
GFL Limited,GFLLIMITED,GFLLIMITED.NS,1995
GHCL Limited,GHCL,GHCL.NS,2003
GHCL Textiles Limited,GHCLTEXTIL,GHCLTEXTIL.NS,2023
GIC Housing Finance Limited,GICHSGFIN,GICHSGFIN.NS,1996
General Insurance Corporation of India,GICRE,GICRE.NS,2017
Gillanders Arbuthnot & Company Limited,GILLANDERS,GILLANDERS.NS,2009
Gillette India Limited,GILLETTE,GILLETTE.NS,2003
Ginni Filaments Limited,GINNIFILA,GINNIFILA.NS,1995
Gujarat Industries Power Company Limited,GIPCL,GIPCL.NS,1995
GK Energy Limited,GKENERGY,GKENERGY.NS,2025
GKW Limited,GKWLIMITED,GKWLIMITED.NS,2009
Gland Pharma Limited,GLAND,GLAND.NS,2020
GlaxoSmithKline Pharmaceuticals Limited,GLAXO,GLAXO.NS,2000
Glenmark Pharmaceuticals Limited,GLENMARK,GLENMARK.NS,2000
Global Education Limited,GLOBAL,GLOBAL.NS,2020
Globale Tessile Limited,GLOBALE,GLOBALE.NS,2024
Global Vectra Helicorp Limited,GLOBALVECT,GLOBALVECT.NS,2006
GLOBE ENTERPRISES (INDIA) LIMITED,GLOBE,GLOBE.NS,2020
Globe Civil Projects Limited,GLOBECIVIL,GLOBECIVIL.NS,2025
Globus Spirits Limited,GLOBUSSPR,GLOBUSSPR.NS,2009
Gloster Limited,GLOSTERLTD,GLOSTERLTD.NS,2024
Glottis Limited,GLOTTIS,GLOTTIS.NS,2025
GM Breweries Limited,GMBREW,GMBREW.NS,1995
Gujarat Mineral Development Corporation Limited,GMDCLTD,GMDCLTD.NS,1997
GMM Pfaudler Limited,GMMPFAUDLR,GMMPFAUDLR.NS,2018
GMR AIRPORTS LIMITED,GMRAIRPORT,GMRAIRPORT.NS,2006
GMR Power and Urban Infra Limited,GMRP&UI,GMRP&UI.NS,2022
GNA Axles Limited,GNA,GNA.NS,2016
Gujarat Narmada Valley Fertilizers and Chemicals Limited,GNFC,GNFC.NS,1995
Goa Carbon Limited,GOACARBON,GOACARBON.NS,2007
GOCL Corporation Limited,GOCLCORP,GOCLCORP.NS,2014
Go Fashion (India) Limited,GOCOLORS,GOCOLORS.NS,2021
Godavari Biorefineries Limited,GODAVARIB,GODAVARIB.NS,2024
Godfrey Phillips India Limited,GODFRYPHLP,GODFRYPHLP.NS,1996
Go Digit General Insurance Limited,GODIGIT,GODIGIT.NS,2024
Godrej Agrovet Limited,GODREJAGRO,GODREJAGRO.NS,2017
Godrej Consumer Products Limited,GODREJCP,GODREJCP.NS,2001
Godrej Industries Limited,GODREJIND,GODREJIND.NS,2003
Godrej Properties Limited,GODREJPROP,GODREJPROP.NS,2010
Gokaldas Exports Limited,GOKEX,GOKEX.NS,2005
Gokul Refoils and Solvent Limited,GOKUL,GOKUL.NS,2008
Gokul Agro Resources Limited,GOKULAGRO,GOKULAGRO.NS,2016
Golden Tobacco Limited,GOLDENTOBC,GOLDENTOBC.NS,1995
Goldiam International Limited,GOLDIAM,GOLDIAM.NS,2005
AION-TECH SOLUTIONS LIMITED,GOLDTECH,GOLDTECH.NS,2001
Goodluck India Limited,GOODLUCK,GOODLUCK.NS,2015
Gopal Snacks Limited,GOPAL,GOPAL.NS,2024
Goyal Aluminiums Limited,GOYALALUM,GOYALALUM.NS,2022
Godawari Power And Ispat limited,GPIL,GPIL.NS,2006
Gujarat Pipavav Port Limited,GPPL,GPPL.NS,2010
GPT Healthcare Limited,GPTHEALTH,GPTHEALTH.NS,2024
GPT Infraprojects Limited,GPTINFRA,GPTINFRA.NS,2016
Granules India Limited,GRANULES,GRANULES.NS,2005
Graphite India Limited,GRAPHITE,GRAPHITE.NS,2003
Grasim Industries Limited,GRASIM,GRASIM.NS,1995
Gravita India Limited,GRAVITA,GRAVITA.NS,2010
Greaves Cotton Limited,GREAVESCOT,GREAVESCOT.NS,2004
Greenlam Industries Limited,GREENLAM,GREENLAM.NS,2015
Greenpanel Industries Limited,GREENPANEL,GREENPANEL.NS,2019
Greenply Industries Limited,GREENPLY,GREENPLY.NS,1996
Orient Green Power Company Limited,GREENPOWER,GREENPOWER.NS,2010
Grindwell Norton Limited,GRINDWELL,GRINDWELL.NS,2006
G R Infraprojects Limited,GRINFRA,GRINFRA.NS,2021
GRM Overseas Limited,GRMOVER,GRMOVER.NS,2022
The Grob Tea Company Limited,GROBTEA,GROBTEA.NS,2016
Billionbrains Garage Ventures Limited,GROWW,GROWW.NS,2025
GRP Limited,GRPLTD,GRPLTD.NS,2015
Garden Reach Shipbuilders & Engineers Limited,GRSE,GRSE.NS,2018
Garware Hi-Tech Films Limited,GRWRHITECH,GRWRHITECH.NS,2022
Gujarat State Fertilizers & Chemicals Limited,GSFC,GSFC.NS,1995
Global Surfaces Limited,GSLSU,GSLSU.NS,2023
Gujarat State Petronet Limited,GSPL,GSPL.NS,2006
GSS Infotech Limited,GSS,GSS.NS,2008
G-TEC JAINX EDUCATION LIMITED,GTECJAINX,GTECJAINX.NS,2020
GTL Limited,GTL,GTL.NS,1995
GTL Infrastructure Limited,GTLINFRA,GTLINFRA.NS,2006
GTPL Hathway Limited,GTPL,GTPL.NS,2017
Gufic Biosciences Limited,GUFICBIO,GUFICBIO.NS,2004
Gujarat Alkalies and Chemicals Limited,GUJALKALI,GUJALKALI.NS,1997
Gujarat Apollo Industries Limited,GUJAPOLLO,GUJAPOLLO.NS,2007
Gujarat Gas Limited,GUJGASLTD,GUJGASLTD.NS,2015
Gujarat Raffia Industries Limited,GUJRAFFIA,GUJRAFFIA.NS,1996
Gujarat Themis Biosyn Limited,GUJTHEM,GUJTHEM.NS,2025
Gulf Oil Lubricants India Limited,GULFOILLUB,GULFOILLUB.NS,2014
GP Petroleums Limited,GULFPETRO,GULFPETRO.NS,2004
Gulshan Polyols Limited,GULPOLY,GULPOLY.NS,2015
GVK Power & Infrastructure Limited,GVKPIL,GVKPIL.NS,2006
GE Power India Limited,GVPIL,GVPIL.NS,2000
GVP Infotech Limited,GVPTECH,GVPTECH.NS,2022
GE Vernova T&D India Limited,GVT&D,GVT&D.NS,2008
Hindustan Aeronautics Limited,HAL,HAL.NS,2018
HALEOS LABS LIMITED,HALEOSLABS,HALEOSLABS.NS,2017
Happiest Minds Technologies Limited,HAPPSTMNDS,HAPPSTMNDS.NS,2020
Happy Forgings Limited,HAPPYFORGE,HAPPYFORGE.NS,2023
Hardwyn India Limited,HARDWYN,HARDWYN.NS,2022
Hariom Pipe Industries Limited,HARIOMPIPE,HARIOMPIPE.NS,2022
Harrisons  Malayalam Limited,HARRMALAYA,HARRMALAYA.NS,1995
Harsha Engineers International Limited,HARSHA,HARSHA.NS,2022
Hathway Cable & Datacom Limited,HATHWAY,HATHWAY.NS,2010
Hatsun Agro Product Limited,HATSUN,HATSUN.NS,2014
Havells India Limited,HAVELLS,HAVELLS.NS,2001
Sri Havisha Hospitality and Infrastructure Limited,HAVISHA,HAVISHA.NS,2000
HBL Engineering Limited,HBLENGINE,HBLENGINE.NS,2007
HB Stockholdings Limited,HBSL,HBSL.NS,2018
Hindustan Construction Company Limited,HCC,HCC.NS,2003
Healthcare Global Enterprises Limited,HCG,HCG.NS,2016
HCL Infosystems Limited,HCL-INSYS,HCL-INSYS.NS,1997
HCL Technologies Limited,HCLTECH,HCLTECH.NS,2000
HDB Financial Services Limited,HDBFS,HDBFS.NS,2025
HDFC Asset Management Company Limited,HDFCAMC,HDFCAMC.NS,2018
HDFC Bank Limited,HDFCBANK,HDFCBANK.NS,1995
HDFC Life Insurance Company Limited,HDFCLIFE,HDFCLIFE.NS,2017
Housing Development and Infrastructure Limited,HDIL,HDIL.NS,2007
Heads UP Ventures Limited,HEADSUP,HEADSUP.NS,2016
HEC Infra Projects Limited,HECPROJECT,HECPROJECT.NS,2021
HEG Limited,HEG,HEG.NS,1995
HeidelbergCement India Limited,HEIDELBERG,HEIDELBERG.NS,1995
Hemisphere Properties India Limited,HEMIPROP,HEMIPROP.NS,2020
Heranba Industries Limited,HERANBA,HERANBA.NS,2021
HERCULES INVESTMENTS LIMITED,HERCULES,HERCULES.NS,2008
Heritage Foods Limited,HERITGFOOD,HERITGFOOD.NS,1996
Hero MotoCorp Limited,HEROMOTOCO,HEROMOTOCO.NS,2003
Hester Biosciences Limited,HESTERBIO,HESTERBIO.NS,2015
Heubach Colorants India Limited,HEUBACHIND,HEUBACHIND.NS,1995
Hexa Tradex Limited,HEXATRADEX,HEXATRADEX.NS,2012
Hexaware Technologies Limited,HEXT,HEXT.NS,2025
HFCL Limited,HFCL,HFCL.NS,2011
H.G. Infra Engineering Limited,HGINFRA,HGINFRA.NS,2018
HandsOn Global Management (HGM) Limited,HGM,HGM.NS,2006
Hinduja Global Solutions Limited,HGS,HGS.NS,2007
Hikal Limited,HIKAL,HIKAL.NS,2001
Highway Infrastructure Limited,HILINFRA,HILINFRA.NS,2025
Hilton Metal Forging Limited,HILTON,HILTON.NS,2007
Himatsingka Seide Limited,HIMATSEIDE,HIMATSEIDE.NS,1995
Hindalco Industries Limited,HINDALCO,HINDALCO.NS,1997
Hindustan Composites Limited,HINDCOMPOS,HINDCOMPOS.NS,1996
Hindcon Chemicals Limited,HINDCON,HINDCON.NS,2021
Hindustan Copper Limited,HINDCOPPER,HINDCOPPER.NS,2010
Hindustan Oil Exploration Company Limited,HINDOILEXP,HINDOILEXP.NS,2003
Hindustan Petroleum Corporation Limited,HINDPETRO,HINDPETRO.NS,1998
Hindustan Unilever Limited,HINDUNILVR,HINDUNILVR.NS,1995
Hindware Home Innovation Limited,HINDWAREAP,HINDWAREAP.NS,2019
Hindustan Zinc Limited,HINDZINC,HINDZINC.NS,2006
Hind Rectifiers Limited,HIRECT,HIRECT.NS,2006
Hisar Metal Industries Limited,HISARMETAL,HISARMETAL.NS,2017
Hi-Tech Pipes Limited,HITECH,HITECH.NS,2018
Hitech Corporation Limited,HITECHCORP,HITECHCORP.NS,2007
The Hi-Tech Gears Limited,HITECHGEAR,HITECHGEAR.NS,2002
HLE Glascoat Limited,HLEGLAS,HLEGLAS.NS,2023
HLV LIMITED,HLVLTD,HLVLTD.NS,1995
HMA Agro Industries Limited,HMAAGRO,HMAAGRO.NS,2023
HMT Limited,HMT,HMT.NS,2003
